canonical_term,match_pattern
python,\bpython\b
sql,\bsql\b
spark,\bspark\b|\bpyspark\b
databricks,\bdatabricks\b
snowflake,\bsnowflake\b
dbt,\bdbt\b
airflow,\bairflow\b
kafka,\bkafka\b
lakeflow,\blakeflow\b
delta_lake,\bdelta\s?lake\b
unity_catalog,\bunity\s?catalog\b
terraform,\bterraform\b
kubernetes,\bkubernetes\b|\bk8s\b
docker,\bdocker\b
aws,\baws\b|\bamazon\s?web\s?services\b
azure,\bazure\b
gcp,\bgcp\b|\bgoogle\s?cloud\b
power_bi,\bpower\s?bi\b
tableau,\btableau\b
looker,\blooker\b
qlik,\bqlik\b
pytorch,\bpytorch\b
tensorflow,\btensorflow\b
mlflow,\bmlflow\b
scikit_learn,\bscikit-?learn\b|\bsklearn\b
llm,\bllm(s)?\b|\blarge\s?language\s?model\b
genai,\bgenai\b|\bgenerative\s?ai\b
gpt,\bgpt-?\d?\b|\bchatgpt\b
claude,\bclaude\b
langchain,\blangchain\b
rag,\brag\b|\bretrieval[\s-]augmented\b
vector_database,\bvector\s?database\b|\bvector\s?store\b
mcp,\bmcp\b|\bmodel\s?context\s?protocol\b
agent_bricks,\bagent\s?bricks\b
fivetran,\bfivetran\b
airbyte,\bairbyte\b
dagster,\bdagster\b
looker_studio,\blooker\s?studio\b
excel,\bexcel\b
sap,\bsap\b
salesforce,\bsalesforce\b
r_language,\br\s?(programming|language|stats)\b|\brstudio\b
scala,\bscala\b
java,\bjava\b
javascript,\bjavascript\b|\bjs\b
react,\breact\b
git,\bgit\b
ci_cd,\bci[/\s]?cd\b
docker_compose,\bdocker[\s-]compose\b
etl,\betl\b
elt,\belt\b
data_warehouse,\bdata\s?warehouse\b
data_lake,\bdata\s?lake\b
data_mesh,\bdata\s?mesh\b
